"","GOI","Freq"
"199","ENSG00000162896.6",32
"200","ENSG00000164924.18",32
"201","ENSG00000179222.18",32
"202","ENSG00000206503.13",32
"203","ENSG00000206585.1",32
"204","ENSG00000212402.1",32
"205","ENSG00000125740.14",31
"206","ENSG00000137154.13",31
"207","ENSG00000168653.11",31
"208","ENSG00000186081.12",31
"209","ENSG00000187514.17",31
"210","ENSG00000197956.10",31
"211","ENSG00000252010.1",31
"212","ENSG00000116133.13",29
"213","ENSG00000129562.11",29
"214","ENSG00000164587.13",29
"215","ENSG00000145425.10",28
"216","ENSG00000185650.10",28
"217","ENSG00000251987.1",28
"218","ENSG00000067113.17",27
"219","ENSG00000106624.11",27
"220","ENSG00000272398.6",27
"221","ENSG00000092820.18",26
"222","ENSG00000124713.6",26
"223","ENSG00000143612.21",26
"224","ENSG00000143761.16",26
"225","ENSG00000145494.12",26
"226","ENSG00000171345.13",26
"227","ENSG00000189060.5",26
"228","ENSG00000084207.18",25
"229","ENSG00000127324.9",25
"230","ENSG00000139644.13",25
"231","ENSG00000187244.12",25
"232","ENSG00000221869.5",25
"233","ENSG00000274210.1",25
"234","ENSG00000101474.12",24
"235","ENSG00000138326.21",24
"236","ENSG00000175793.12",24
"237","ENSG00000069535.14",23
"238","ENSG00000124233.12",23
"239","ENSG00000157214.14",23
"240","ENSG00000120129.6",22
"241","ENSG00000132821.12",22
"242","ENSG00000211893.4",22
"243","ENSG00000244038.11",22
"244","ENSG00000106537.8",21
"245","ENSG00000118181.11",21
"246","ENSG00000132507.18",21
"247","ENSG00000155111.15",21
"248","ENSG00000207205.1",21
"249","ENSG00000124107.5",20
"250","ENSG00000149806.11",20
"251","ENSG00000172057.10",20
"252","ENSG00000198744.5",20
"253","ENSG00000204628.12",20
"254","ENSG00000005022.6",19
"255","ENSG00000172724.12",19
"256","ENSG00000212232.1",19
"257","ENSG00000213639.10",19
"258","ENSG00000072042.13",18
"259","ENSG00000130222.11",18
"260","ENSG00000158050.5",18
"261","ENSG00000187608.10",18
"262","ENSG00000196576.15",18
"263","ENSG00000225972.1",18
"264","ENSG00000100234.12",17
"265","ENSG00000155368.16",17
"266","ENSG00000169710.9",17
"267","ENSG00000200959.1",17
"268","ENSG00000256148.1",17
"269","ENSG00000086205.18",16
"270","ENSG00000099194.6",16
"271","ENSG00000099860.9",16
"272","ENSG00000102316.17",16
"273","ENSG00000108821.14",16
"274","ENSG00000144339.12",16
"275","ENSG00000150991.15",16
"276","ENSG00000164692.18",16
"277","ENSG00000211637.2",16
"278","ENSG00000101439.9",15
"279","ENSG00000103024.7",15
"280","ENSG00000109971.14",15
"281","ENSG00000124225.16",15
"282","ENSG00000238741.1",15
"283","ENSG00000071082.11",14
"284","ENSG00000083845.9",14
"285","ENSG00000117472.10",14
"286","ENSG00000136603.14",14
"287","ENSG00000142871.18",14
"288","ENSG00000163682.17",14
"289","ENSG00000169714.17",14
"290","ENSG00000170027.7",14
"291","ENSG00000173432.12",14
"292","ENSG00000176340.4",14
"293","ENSG00000196126.11",14
"294","ENSG00000200087.1",14
"295","ENSG00000246705.4",14
"296","ENSG00000064961.19",13
"297","ENSG00000125398.8",13
"298","ENSG00000161016.18",13
"299","ENSG00000166228.9",13
"300","ENSG00000169813.16",13
"301","ENSG00000252213.1",13
"302","ENSG00000012223.13",12
"303","ENSG00000115457.10",12
"304","ENSG00000165092.13",12
"305","ENSG00000169347.17",12
"306","ENSG00000171401.15",12
"307","ENSG00000206917.1",12
"308","ENSG00000278626.1",12
"309","ENSG00000006468.14",11
"310","ENSG00000084234.18",11
"311","ENSG00000096088.16",11
"312","ENSG00000105664.11",11
"313","ENSG00000107018.8",11
"314","ENSG00000117592.9",11
"315","ENSG00000159184.8",11
"316","ENSG00000159674.12",11
